location,year,Artist name,Co-applicant name,Film title,Link
New York City,1984,Ericka Beckman,,Cinderella,http://www.erickabeckman.com/Home.html
New York City,1984,Camille Billops,,Older Women and Love,
New York City,1984,Lizzie Borden,,Working Girls,
New York City,1984,Bill Brand,,Home Less Home,http://www.bboptics.com/
New York City,1984,Ann Flournoy,,Big As Life,
New York City,1984,Sharon Greytak,,Weirded Out and Blown Away,http://www.sharongreytak.com/
New York City,1984,Joanna Kiernan,,Double Hearing,
New York City,1984,Mark Magill,,Casting Fair Ophelia,
New York City,1984,Ernest Marrero,Susan Kouguell,Before The Rise Of Premonition,
New York City,1984,Rita Myers,,The Allure of the Concentric,
New York City,1984,Al Robbins,,Inversions,
New York City,1985,Ayoka Chenzira,,Zajota and the Boogie Spirit,http://www.ayoka.com/
New York City,1985,Mary Filippo,,Who Do You Think You Are,
New York City,1985,Holly Fisher,,Soft Shoe,
New York City,1985,Andrew Horn,,The Big Blue,
New York City,1985,Margia Kramer,,New Wozzeck,
New York City,1985,Chris Kraus,,Sadness at Leaving,
New York City,1985,Spike Lee,,She’s Gotta Have It,http://www.40acres.com/
New York City,1985,Ardele Lister,,Between Heaven and Hell,http://www.ardelelister.com/index.html
New York City,1985,Shelia McLaughlin,,She Must Be Seeing Things,
New York City,1985,Sandy Moore,,Reverse Transcriptase,
New York City,1985,Leslie Thornton,,There Was an Unseen Cloud Moving,
