Year,Artist name,Co-applicant name,Film title,Link
2009,Molly Worre,"Carrie Volk
Carrie Bush",Golden Hour,https://www.facebook.com/pages/Golden-Hour-the- Film/236240673076323
2010,Michael Etoll,,Pilgrimage to the Grave of Tiny Tim,
2010,Jim Grafsgaard,,Midas Rat and Me,
2010,Ann Prim,,Little Words,
2010,Jesse Roesler,,The Starfish Throwers,
2010,Dustin M. Rosemark,,Blue Hands,
2010,Jenny Schmid,,VLD SK8R GRL,
2010,Anal Shah,,Chalchitra-Railyatra,http://vimeopro.com/analshah/portfolio/video/75048048
2011,Nathan Fisher,,Rebuilding Cold River,
2011,Andrew Hunt,,Noah,http://crankygiant.com/
2011,Rebecca Kingsley,,The Last Colony,
2011,Andrew Martin,,Canoe,
2011,Kevin Obsatz,,Crazy Horse,
2011,Jacob Swanson,,Walk Amongst the Living,
2011,Kao Lee Thao,,Gao Zoua Pa,
2011,Brennan Vance,,Like Father,
2011,Britni West,,Untitled,
2012,John Akre,,Demolition Dreaming,
2012,Nicole Brending,,Dollhouse,http://whoisjuniespoons.com/
2012,Susan Marks,John Kurtis Dehn,Murder in a Nutshell: The Frances Glessner Lee Story,
2012,Michael J. Peterson,,Insectula!,http://www.insectula.com/
2012,Maya Washington,,Through the Banks of the Red Cedar,
2012,Caleb Wood,,MN: Animated Portrait of Minnesota,
2013,Mitchell Arens,,Brother Bear,
2013,Kiera Faber,,Obscurer,http://www.kierafaber.com/home.html
2013,Stephen Gurewitz,,You Take Care,
2013,Laska Jimsen,,Deer of North America,
2013,Ann Prim,,The Sleepwalker-Notes from There,
2013,Brennan Vance,,The Missing Sun,
2013,Deacon Warner,,Radical Roots: Revolutions of the Twin Cities Food Co-ops,
